sku,manufacturer_guess,category_guess,room_name,archetype,level,hit_count_in_file,source_txt
EA-AMP-HYB-2D-1000,Control4,Controller,70V/8-ohm IP-Enabled Amplifier,Unknown,,3,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy 18 Rosecrown P-67 18 Rosecrown Q-102 V2.pdf__0a82c450beb4.txt
AN-520-AP-O,Araknis,Networking,Wi-Fi 6 520 Series Outdoor Wireless Access Point,Outdoor,Level 1,2,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy 18 Rosecrown P-67 18 Rosecrown Q-102 V2.pdf__0a82c450beb4.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy 46 Jasmine P-13.pdf__61f9917122a3.txt
AN-520-AP-O,Araknis,Networking,Wi-Fi 6 520 Series Outdoor Wireless Access Point,Outdoor,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy Shooting Star Landscape - AudioInternetCO P-3.pdf__2eca8acc13c1.txt
AN-110-SW-R-8,Araknis,Networking,CHANGE ORDER 1,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy Shooting Star Landscape - AudioInternetCO P-3.pdf__2eca8acc13c1.txt
EA-3,Control4,Controller,Select the EA-3 as the audio source in Master Bed,Bedroom,,98,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Both.pdf__4c2d4a3198ae.txt
EA-3,Control4,Controller,Select the EA-3 as the audio source in Kitchen,Kitchen,,131,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Bunk not joining right.pdf__80f40322c2d2.txt
EA-3,Control4,Controller,"Zone 7 Audio End-Point <==> Hall->Audio End-Point 1,",Entry/Hall,,8,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Connections.pdf__5fa19b919200.txt
EA-3,Control4,Controller,Rack,Mechanical/Utility,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Control4-Jaffe_Controller Migration Report.pdf__78bf028a54c6.txt
AN-820-AP-I,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,,7,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Eisenach Eisenach P-19 AV Q-26 V2.pdf__158d39391742.txt
CA-1,Control4,Controller,CA-1 Hub and Automation Controller,Unknown,,2,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Eisenach Eisenach P-19 AV Q-26 V2.pdf__158d39391742.txt
EA-AMP-SUB-1D-500R,Control4,Controller,500W Subwoofer Amplifier,Unknown,,2,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Eisenach Eisenach P-19 AV Q-26 V2.pdf__158d39391742.txt
TS-PDX-IC84-DTS,TS,Unknown,Universal Articulating Dual Arm Mount,Unknown,,4,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Eisenach Eisenach P-19 AV Q-26 V2.pdf__158d39391742.txt
TS-PDX-IC85,TS,Unknown,"ML Living Deck $1,180.02",Living/Great Room,,2,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Eisenach Eisenach P-19 AV Q-26 V2.pdf__158d39391742.txt
