sku,manufacturer_guess,category_guess,room_name,archetype,level,hit_count_in_file,source_txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
TS-AMS8-V2,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
TS-PAMP8-125-V2,TS,Amplifier,TS Triad Power Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
EA-3,Control4,Controller,Select the EA-3 as the audio source in Guest Bed,Bedroom,,47,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Programming-Updated-Final-Polished-Actions.pdf__7c53dbbf3bf4.txt
EA-3,Control4,Controller,If Room Kitchen Selected Audio Device is EA-3,Kitchen,,143,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Programming-Updated-Final-Polished-All-Leader.pdf__b48777c08a3a.txt
EA-3,Control4,Controller,Select the EA-3 as the audio source in Master Bed,Bedroom,,51,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Programming-Updated-Final-Polished-All.pdf__6d4f919af48f.txt
EA-3,Control4,Controller,Select the EA-3 as the audio source in Master Bed,Bedroom,,15,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Programming-Updated-Final-Polished.pdf__aefd8aedfee5.txt
EA-3,Control4,Controller,Select the EA-3 as the audio source in Master Bed,Bedroom,,15,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Programming-Updated-Final.pdf__2bf7d7088a0d.txt
EA-3,Control4,Controller,Use the off color for TV Audio on Hall->Right KP,Entry/Hall,,6,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Programming-Updated.pdf__c8abebeb6e09.txt
EA-3,Control4,Controller,Select the EA-3 as the audio source in Kitchen,Kitchen,,116,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Programming.pdf__364ce67fc7da.txt
AN-820-AP-I,Araknis,Networking,Araknis Networks AN-820-AP-I 1 $816.99,Unknown,,8,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
AN-520-RT,Araknis,Networking,Araknis Networks AN-520-RT 1 $907.99,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
AN-SFP-10-D-3,Araknis,Networking,Araknis Networks AN-SFP-10-D-3 3 $185.97,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
AN-620-SW-R-8-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
AN-320-SW-R-24-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
EA-AMP-SUB-1D-500R,Control4,Controller,"Episode EA-AMP-SUB-1D-500R 2 $3,267.08",Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
TS-AMS16,TS,Audio Matrix,"Triad Speakers TS-AMS16 1 $2,694.29",Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
EA-DYN-16D-100,Control4,Controller,"Episode EA-DYN-16D-100 1 $2,511.99",Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
EA-DYN-8D-100,Control4,Controller,"Episode EA-DYN-8D-100 1 $1,485.92",Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
AN-320-SW-R-16-POE,Araknis,Networking,Dynamic Class-D Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale A - Vail P-78 2995 Basingdale A- Complete AV Integration Q-129 V4.pdf__711549b0ce55.txt
AN-820-AP-I,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,,8,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
AN-320-SW-R-24-POE,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
AN-520-RT,Araknis,Networking,520-Series Dual-WAN Rtr,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
AN-620-SW-R-8-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
AN-SFP-10-D-3,Araknis,Networking,SFP+ Transceiver Module,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
AN-320-SW-R-16-POE,Araknis,Networking,4K Media Player - 128GB,Theater/Media,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
EA-AMP-SUB-1D-500R,Control4,Controller,500W Subwoofer Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
EA-DYN-16D-100,Control4,Controller,Dynamic Class-D Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
EA-DYN-8D-100,Control4,Controller,Dynamic Class-D Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Rocco 2995 Basingdale B - Vail P-79 2995 Basingdale B - Complete AV Distribution Q-128 V4.pdf__12c0846480d6.txt
EA-DYN-2D-200,Control4,Controller,Episode EA-DYN-2D-200 1 $942.99 $942.99,Unknown,Level 1,2,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Shannon Loup 1500 Sweet Spring - Loup P-74 Audio Update - C4 Q-115 V2.pdf__2db42e4306b7.txt
EA-RSP-12D-100,Control4,Controller,Response DSP Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Shannon Loup 1500 Sweet Spring - Loup P-74 Audio Update - C4 Q-115 V2.pdf__2db42e4306b7.txt
CA-1,Control4,Controller,120/277V Configurable Keypad,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Wherle - 50 Spruce Lane Lighting Update.pdf__a2773d42bc54.txt
CA-03,Control4,Controller,116 126 LEGEND - FINISHES PLAN,Unknown,,6,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/drawings/23304-Home2GlenwoodSprings-100percent Final Bid Package - Full Set.pdf__6e3bd2cdaf40.txt
CA-01,Control4,Controller,SC CA-01 AREA (HATCHED),Unknown,,4,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/drawings/23304-Home2GlenwoodSprings-100percent Final Bid Package - Full Set.pdf__6e3bd2cdaf40.txt
T3FD,Unknown,Unknown,"2D:59 T3FD T3 57 58,60",Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/drawings/23304-Home2GlenwoodSprings-100percent Final Bid Package - Full Set.pdf__6e3bd2cdaf40.txt
TS-23FG-HC,TS,Unknown,32-34 1 SPARE NUMBER,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/drawings/23304-Home2GlenwoodSprings-100percent Final Bid Package - Full Set.pdf__6e3bd2cdaf40.txt
EA-3,Control4,Controller,If Room Kitchen Selected Audio Device is EA-3,Kitchen,,123,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/fuck.pdf__7c6d6a5d04cb.txt
EA-3,Control4,Controller,"Zone 7 Audio End-Point <==> Hall->Audio End-Point 1,",Entry/Hall,,8,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/fuck1.pdf__d7461c4e1674.txt
